car_name,length,width,height
Acura TL II 3.2 Type S, 489 cm or 192.52 inches , 179.3 cm or  70.59 inches , 136.4 cm or 53.7 inches 
Acura TL II 3.2, 490 cm or 192.91 inches , 178.5 cm or 70.28 inches , 142.5 cm or 56.1 inches 
Acura TL II 3.2, 490 cm or 192.91 inches , 178.5 cm or 70.28 inches , 142.5 cm or 56.1 inches 
Acura CL (YA4) 3.2 Type-S Auto, 487.7 cm or 192.01 inches , 179.3 cm or 70.59 inches , 141 cm or 55.51 inches 
Acura CL (YA4) 3.2 Type-S 6-speed, 487.7 cm or 192.01 inches , 179.3 cm or 70.59 inches , 141 cm or 55.51 inches 
Acura CL (YA4) , 487.7 cm or 192.01 inches , 179.3 cm or 70.59 inches , 141 cm or 55.51 inches 
Acura CL (YA4) 3.2 Type-S Auto, 487.7 cm or 192.01 inches , 179.3 cm or 70.59 inches , 141 cm or 55.51 inches 
Acura EL (ES3) 1.7 Auto, 450.5 cm or 177.36 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7, 450.5 cm or 177.36 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7 Auto, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7 Auto, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7 Auto, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura EL (ES3) 1.7, 448.8 cm or 176.69 inches , 171.5 cm or 67.52 inches , 144 cm or 56.69 inches 
Acura MDX 3.5 V6 Touring Pkg, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6 Touring Pkg, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6 Touring Pkg, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6 Touring Pkg, 479.3 cm or 188.7 inches , 195.6 cm or 77.01 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6 Touring Pkg, 478.9 cm or 188.54 inches , 193.8 cm or 76.3 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 478.9 cm or 188.54 inches , 193.8 cm or 76.3 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6 Touring Pkg, 478.9 cm or 188.54 inches , 193.8 cm or 76.3 inches , 174.4 cm or 68.66 inches 
Acura MDX 3.5 V6, 478.9 cm or 188.54 inches , 193.8 cm or 76.3 inches , 174.4 cm or 68.66 inches 
Acura RSX Type-S, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX Auto, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
