car_name,length,width,height
AC Greyhound 2.0, 457.2 cm or 180 inches , 165.7 cm or 65.24 inches , 133.4 cm or 52.52 inches 
AC Cobra CRS, 420 cm or 165.35 inches , 174.6 cm or 68.74 inches , 120 cm or 47.24 inches 
AC Cobra Mk IV 5.0 V8, 420 cm or 165.35 inches , 174.6 cm or 68.74 inches , 120 cm or 47.24 inches 
AC Cobra 427, 396.2 cm or 155.98 inches , 172.7 cm or 67.99 inches , 124.5 cm or 49.02 inches 
AC Cobra 289, 384.8 cm or 151.5 inches , 154.9 cm or 60.98 inches , 124.5 cm or 49.02 inches 
AC Cobra 260, 384.8 cm or 151.5 inches , 154.9 cm or 60.98 inches , 124.5 cm or 49.02 inches 
AC 427 , 442 cm or 174.02 inches , 170.2 cm or 67.01 inches , 129.5 cm or 50.98 inches 
AC 428 Coupe, 450.9 cm or 177.52 inches , 170.2 cm or 67.01 inches , 125.7 cm or 49.49 inches 
AC 428 Convertible, 450.9 cm or 177.52 inches , 170.2 cm or 67.01 inches , 125.7 cm or 49.49 inches 
AC 3000ME , 399 cm or 157.09 inches , 165.1 cm or 65 inches , 114.3 cm or 45 inches 
Acura Integra 1986 3-door 1.6i, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i Auto, 428 cm or 168.5 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i, 428 cm or 168.5 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i Auto, 428 cm or 168.5 inches , 166.5 cm or 65.55 inches , 134.5 cm or 52.95 inches 
Acura Integra 1986 3-door 1.6i, 428 cm or 168.5 inches , 166.5 cm or 65.55 inches , 134.5 cm or 52.95 inches 
Acura Integra 1986 5-door 1.6i Auto, 435.5 cm or 171.46 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i, 435.5 cm or 171.46 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i Auto, 435.5 cm or 171.46 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i, 435.5 cm or 171.46 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i Auto, 435 cm or 171.26 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i, 435 cm or 171.26 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 5-door 1.6i Auto, 435 cm or 171.26 inches , 166.5 cm or 65.55 inches , 134.5 cm or 52.95 inches 
Acura Integra 1986 5-door 1.6i, 435 cm or 171.26 inches , 166.5 cm or 65.55 inches , 134.5 cm or 52.95 inches 
Acura Legend 1 Sedan 2.7i V6, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6 Auto, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6 Auto, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.5i V6 Auto, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.5i V6, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6 Auto, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6 Auto, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
